,Country,Anthem,cluster,cluster_names
0,Albania,"around our flag we stand united, with one wish and one goal, a sacred oath we bestow upon it proclaiming loyalty for our salvation. from war abstains only he, who a traitor is born, he who is a true man is not frightened, but dies a warrior to the cause. with weapons in our hands a-brandished, we will defend our fatherland, our sacred rights weã¢â‚¬â„¢ll not relinquish, the foe has no place in our land. for god himself proclaimed the nations of the earth shall wane, and yet will live, will thrive albania. for you, for you we fight. o flag, flag, you sacred symbol upon you we now swear for albania, our dear fatherland for honour and your glory. brave man is named and honoured the one who sacrificed himself for the fatherland forever he will be remembered on earth and under as a saint!",0,Echoes of Sacred Freedom
1,Armenia,"our fatherland, free, independent, that has for centuries lived, is now summoning its sons to the free, independent armenia. here is a flag for you, my brother, that i have sewn by hand over the sleepless nights, and bathed in my tears. look at it, tricolored, a valuable symbol for us. let it shine against the enemy. let you, armenia, be glorious forever. death is the same everywhere, a man dies but once, blessed is the one that dies for the freedom of his nation.",0,Echoes of Sacred Freedom
2,Austria,"land of mountains, land by the river, land of fields, land of cathedrals, land of hammers, with a promising future! home to great daughters and sons, people highly gifted for beautiful arts, much-praised austria! strongly feuded for, fiercely hard-fought for, thou liest in the middle of the continent like a strong heart, since the early days of the ancestors thou hast borne the burden of a high mission, much-tried austria. bravely towards the new ages see us striding, free, and faithful, assiduous and full of hope, unified, let us in jolly choirs pledge allegiance to thee, fatherland much-beloved austria. ",1,O Motherly Nature
3,Azerbaijan,"azerbaijan, azerbaijan! the glorious fatherland of our valorous fathers! we stand at the ready to die for thee! we stand at the ready to shed our blood! all so that we may live blissfully under thy tri-color banner! all so that we may live blissfully under thy tri-color banner! thousands of martyrs had died for thy cause, thy sweeping plains had become fields of battle! and our warriors had bravely defended thee! each one a hero in the storied annals of our land! thou hast now become our rosegarden, our hearts we are ever-ready to sacrifice! thy neverã¢â‚¬â€œending love for us hast earned thou a place in our hearts! to uphold thy honor, to keep thy flag waving, to uphold thy honor, the young stand at the ready! the glorious fatherland! the glorious fatherland! azerbaijan! azerbaijan! azerbaijan! azerbaijan!",3,Glorious Homeland
4,Belarus,"we, belarusians, are peaceful people, wholeheartedly devoted to our motherland. we are faithful friends, growing up living in a hardworking and independent family. glory to the blessed name of our land, glory to the brotherly union of peoples! our dearly beloved motherland, may you live long and prosper, belarus! together with our brothers, we for centuries courageously defended our home's threshold. in battles for freedom, and battles for our lot we have won our banners of victory! glory to the blessed name of our land, glory to the brotherly union of peoples! our dearly beloved motherland, may you live long and prosper, belarus! friendship of peoples is the strength of peoples and it is our sacred sunlit path. proudly we fly in the clear blue skies, the banner of victory, the sunshine's flag!",3,Glorious Homeland
5,Belgium,"o dear belgium, o holy land of the fathers ã¢â‚¬â€œ our soul and our heart are devoted to you! with blood to spill for you, o fatherland! we swear with one cry ã¢â‚¬â€œ you shall live! so gladly bloom in beauty full, into what freedom has taught you to be, and evermore shall sing your sons: the king, the law, the liberty! faithful to the word that you may speak boldly, for king, for freedom and for law! to law and king and freedom, hail! the king, the law, the liberty",3,Glorious Homeland
6,Bosnia and Herzegovina,"you're the light of the soul eternal fire's flame mother of ours, o land of bosnia i belong to you the beautiful blue sky of herzegovina in the heart are your rivers your mountains proud and famous land of ancestors you shall live in our hearts ever more generations of yours show up as one we go into the future together!",3,Glorious Homeland
7,Bulgaria,"proud balkan mountains, next to it the danube sparkles, the sun shines over thrace, and blazes over pirin. dear motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless countless fighters died, for our beloved people, mother, give us manly strength to continue their path dear motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless together, bulgarian brothers! moscow is with us in peace and war! a great party leads our victorious society",2,A Child’s Voice
8,Croatia,"our beautiful homeland, oh so fearless and gracious, our fathers' ancient glory, may you be happy forever. dear, you are our only glory, dear, you are our only one, dear, we love your plains, dear, we love your mountains. drava, sava, keep on flowing, danube, do not lose your vigour, deep blue sea, tell the world, that the croat loves his people. whilst his fields are kissed by sunshine, whilst his oaks are whipped by bura winds, whilst his ancestors lie buried, whilst his living heart beats.",3,Glorious Homeland
9,Cyprus,"we knew thee of old, o, divinely restored, by the lights of thine eyes, and the light of thy sword. from the graves of our slain, shall thy valor prevail, as we greet thee again, hail, liberty! hail!",0,Echoes of Sacred Freedom
10,Czechia,"where my home is, where my home is, water roars across the meadows, pinewoods rustle among rocks, the orchard is glorious with spring blossom, paradise on earth it is to see. and this is that beautiful land, the czech land, my home, the czech land, my home!",1,O Motherly Nature
11,Denmark,"there is a lovely country it stands with broad beech-trees, near the salty eastern shore it bends itself in hill, valley, its name is old denmark and it is the hall of freya. there sat in former times, the armour-suited warriors, rested from conflict then they went forward to the enemies' injury, now their bones are resting behind the mound's menhir. that country is still lovely, because the sea waves so blue frolic, and the foliage stands so green and noble women, beautiful maidens, and men and brisk swains inhabit the danes' islands. hail king and fatherland! hail every honourable citizen, who works, what he can our old denmark shall endure, as long as the beech-tree mirrors its top in the blue wave!",2,A Child’s Voice
12,Estonia,"my fatherland, my joy and happiness, how beautiful you are! i shall not find such ever in this huge wide world which would be so dear to me as you, my fatherland! you have given me birth and raised me up; i shall thank you always and remain faithful to you until death, to me most beloved are you, my precious fatherland! may god watch over you, my precious fatherland! let him be your defender and provide bountiful blessings for whatever you undertake, my precious fatherland!",0,Echoes of Sacred Freedom
13,Finland,"o our land finland, our land of birth, sound, the golden word! there's no valley, no hill no water, shore more precious than this northern homeland the dear land of our fathers! our land is poor, so it remains, if you long for gold a stranger sure abandons it, but to us, the most precious land is this, its wilds, islands, mainlands, to us, they are golden. they are dear to us our rapids with their surges the hummings of eternal pines our starnights, the summers bright all that with their pictures and songs closed to heart. here with ploughs, swords, thoughts our fathers fought, when the day hid in the clouds or shone with shines of happiness here the nation of finland, the most difficult troubles they experienced. this nation's battles who can tell them, who? when a war sounded in our valleys, and frost brought the pain of hunger, who measured the blood and its sufferings? here has its blood flown for our sake, too here has it enjoyed its happiness and sighed its worries that nation, to which the most ancient burden of ours was given. here we have a feeling excellent and everything favourable, although be it whatever luck land fatherland is what we have. what's sweeter in the world and what's more precious? and here is this land, our eyes see it. we can reach out a hand and point at water, shore and say: see, there's our father's dearest land. if we were accompanied to glory even to golden clouds, where we wouldn't cry but most important joy the soul would get, to this poor home our will would be. the homeland of truth and poet the land with a thousand lakes where our life gets protection, you the land of memories and hopes, always be, content with your luck, free and joyful. your prosperity from its hide shall break out once yet our love it shall rise your hope, joy in its brilliance, and once, your song, the land of birth shall get the highest echo.",3,Glorious Homeland
